senders,pvalue,efficiency,throughput,avgFwdDelay
3, 0.566660, 0.994440, 851300.375000, 178096
3, 0.816660, 0.986188, 1004872.562500, 61624
7, 0.142850, 0.997839, 478089.406250, 1637883
7, 0.028570, 0.999750, 128128.085938, 1252049
7, 0.278570, 0.995134, 708296.187500, 599699
7, 0.528570, 0.983654, 865542.312500, 249671
7, 0.778570, 0.968098, 892936.875000, 420028
15, 0.066660, 0.998567, 323463.656250, 4639148
15, 0.013330, 1.000000, 93915.773438, 4965375
15, 0.263330, 0.981154, 492107.750000, 1455400
15, 0.513330, 0.966475, 485256.843750, 2296835
15, 0.763330, 0.949925, 474857.468750, 532508
31, 0.032250, 0.998524, 216695.859375, 5107732
31, 0.006450, 0.999914, 62031.015625, 12372687
31, 0.256450, 0.973360, 288819.281250, 2958229
31, 0.506450, 0.948347, 280258.187500, 2610218
31, 0.756450, 0.921077, 273662.718750, 3244341
63, 0.015870, 0.999500, 107179.492188, 48224738
63, 0.003170, 1.000000, 28393.876953, 69363543
63, 0.253170, 0.972062, 127271.632812, 15744083
63, 0.503170, 0.945442, 120283.421875, 12219332
63, 0.753170, 0.912655, 110139.164062, 19795465
127, 0.007870, 0.999821, 60148.996094, 45206588
127, 0.001570, 1.000000, 14485.795898, 659086786
127, 0.251570, 0.972835, 56672.707031, 38905171
127, 0.501570, 0.944556, 53307.257812, 8096727
127, 0.751570, 0.919460, 52758.148438, 14336711
